catalog_number,copy_number,gri_has_copy,price_recorded,owner_code,owner_location
D-797,,,*,SKD,"Kunstbibliothek, Staatliche Kunstsammlungen, Dresden, Germany"
D-797,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-797,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-797,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-750,,,*,ZIKG,"Zentralinstitut fr Kunstgeschichte, Munich, Germany"
D-750,,,*,SKD,"Kunstbibliothek, Staatliche Kunstsammlungen, Dresden, Germany"
D-750,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-750,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-750,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-703,,,*,SMKH,"Karl und Magdalene Haberstock Stiftung, Augsburg, Germany"
D-703,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-703,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-703,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-942,,,,ZIKG,"Zentralinstitut fr Kunstgeschichte, Munich, Germany"
D-942,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-942,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-942,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1190,,,*,KMB,"Kunst- und Museumsbibliothek, Cologne, Germany"
D-1190,,,*,KHI,"Kunsthistorisches Institut der Universitt zu Kln, Cologne, Germany"
D-1190,,,*,SMKH,"Karl und Magdalene Haberstock Stiftung, Augsburg, Germany"
D-1190,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1190,,,*,ZIKG,"Zentralinstitut fr Kunstgeschichte, Munich, Germany"
D-1190,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-1190,,,*,BKZ,"Bibliothek des Kunsthauses, Zurich, Switzerland"
D-1190,,,*,SIF,"Stdelsches Kunstinstitut und Stdtische Galerie, Frankfurt, Germany"
D-1190,,,*,BNMM,"Bayerisches Nationalmuseum, Munich, Germany"
D-1190,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-1190,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1166,,,*,KMB,"Kunst- und Museumsbibliothek, Cologne, Germany"
D-1166,,,*,KHI,"Kunsthistorisches Institut der Universitt zu Kln, Cologne, Germany"
