catalog_number,copy_number,gri_has_copy,price_recorded,owner_code,owner_location
B-2,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-2,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-3,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-3,II,No,*,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-4,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-4,,Yes,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-4,,Yes,*,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-4,I,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-4,II,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-4,,Yes,*,SMLn,"Stedelijke Musea, Leuven, Belgium"
B-5,,Yes,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-5,,No,*,ULn,"Universiteit, Leuven, Belgium"
B-7,I,Yes,*,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-7,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-7,,No,*,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-7,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-8,,No,*,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-8,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-8,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-8,,No,,KBH,"Koninklijke Bibliotheek, The Hague, Netherlands"
B-8,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-12,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-12,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-12,,No,,,"Oscar Nottebohm, Antwerp, Belgium"
B-12,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-13,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-13,,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-13,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-16,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-16,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-16,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-16,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-16,,No,,ULn,"Universiteit, Leuven, Belgium"
B-17,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-17,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-26,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-26,II,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-26,III,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-26,IV,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-26,,No,,ULNe,"Universit, Louvain-la-Neuve, Belgium"
B-28,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-28,,Yes,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-29,I,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-29,II,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-29,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-29,,,,NP,"Marcel Nicolle, Paris, France"
B-29,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-29,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-30,,No,,BUL,"Bibliothque de l'Universit, Lige, Belgium"
B-30,,No,,KBH,"Koninklijke Bibliotheek, The Hague, Netherlands"
B-30,I,Yes,,ULNe,"Universit, Louvain-la-Neuve, Belgium"
B-30,II,No,,ULne,
B-31,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-33,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-33,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-34,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-34,I,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-34,II,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-34,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-34,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-34,,No,,SAM,"Stadsarchief, Mechelen, Belgium"
B-35,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-35,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-35,III,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-36,II,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-36,I,Yes,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-36,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-36,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-36,,No,,ULn,"Universiteit, Leuven, Belgium"
B-40,,Yes,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-40,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-41,,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-42,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-42,,Yes,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-42,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-43,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-43,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-43,,No,,ULn,"Universiteit, Leuven, Belgium"
B-50,I,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-50,II,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-50,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-50,,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-50,,No,,EBNP,"Cabinet des Estampes, Bibliothque Nationale, Paris, France"
B-50,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-50,,No,,BVR,"Biblioteca Apostolica Vaticana, Rome, Italy"
B-50,,No,,ULNe,"Universit, Louvain-la-Neuve, Belgium"
B-51,,Yes,,VAL,"National Art Library, Victoria and Albert Museum, London, England"
B-52,,Yes,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-54,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-54,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-57,I,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-59,,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-59,,No,,BEMa,"E. de Bethune, Marke, Belgium"
B-62,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-62,,Yes,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-63,,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-67,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-68,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-70,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-70,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-70,,No,,BNP,"Bibliothque nationale, Dpartement des Imprims, Paris, France"
B-70,,,,LP,"Bibliothque du Muse du Louvre, Paris, France"
B-70,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-70,,No,,VAL,"National Art Library, Victoria and Albert Museum, London, England"
B-70,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-70,,No,,AKW,"Akademie der bildenden Knste, Vienna, Austria"
B-70,I,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-70,II,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-70,,Yes,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-70,,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-70,,No,,RMA,"Rijksmuseum, Amsterdam, Netherlands"
B-70,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-70,,No,,SMLn,"Stedelijke Musea, Leuven, Belgium"
B-70,,No,,WCL,"Wallace Collection, London, England"
B-70,,No,,CB,"Bibliothque du Muse du Cinquantenaire, Brussels, Belgium"
B-72,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-73,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-73,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-73,III,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-73,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-76,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-77,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-77,II,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-77,III,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-77,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-78,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-79,,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-79,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-79,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-81,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-83,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-83,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-83,III,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-83,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-84,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-84,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-84,,No,,ULn,"Universiteit, Leuven, Belgium"
B-85,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-85,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-85,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-86,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-86,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-86,I,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-86,II,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-86,III,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-86,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-86,,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-86,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-86,I,No,,ULn,"Universiteit, Leuven, Belgium"
B-86,II,No,,ULn,"Universiteit, Leuven, Belgium"
B-86,,No,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-86,,No,,BMA,"Hoofdbibliotheek, Antwerp, Belgium"
B-89,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-89,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-89,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-89,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-89,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-89,,No,,ULNe,"Universit, Louvain-la-Neuve, Belgium"
B-89,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-91,I,Yes,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-91,II,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-96,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-96,II,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-103,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-103,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-104,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-104,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-104,III,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-105,,Yes,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-111,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-111,,No,,ULn,"Universiteit, Leuven, Belgium"
B-114,,Yes,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-114,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-116,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-116,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-116,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-117,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-117,,Yes,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-118,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-118,I,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-118,II,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-118,III,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-118,IV,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-118,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-118,,Yes,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-118,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-118,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-120,,Yes,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-126,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-126,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-130,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-130,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-130,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-130,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-130,,No,,ULn,"Universiteit, Leuven, Belgium"
B-132,,Yes,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-132,,Yes,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-133,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-133,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-133,III,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-133,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-136,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-136,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-136,,Yes,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-136,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-136,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-136,I,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-136,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-136,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-138,,Yes,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-138,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-138,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-138,,No,,RMA,"Rijksmuseum, Amsterdam, Netherlands"
B-138,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-138,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-138,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-138,I,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-138,II,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-138,,No,,PJP,"Paul Jammes, Paris, France"
B-138,,Yes,,ULNe,"Universit, Louvain-la-Neuve, Belgium"
B-139,,Yes,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-139,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-139,,No,,ULn,"Universiteit, Leuven, Belgium"
B-140,,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-140,,No,,COBB,"Centrale Openbare Bibliotheek, Brugge, Belgium"
B-140,,No,,BEMa,"E. de Bethune, Marke, Belgium"
B-142,,Yes,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-142,,No,,ULn,"Universiteit, Leuven, Belgium"
B-144,,Yes,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-147,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-147,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-149,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-149,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-149,III,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-149,IV,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-149,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-150,,Yes,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-153,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-153,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-153,,No,,MPA,"Muse Plantin-Moretus, Antwerp, Belgium"
B-153,,Yes,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-153,,No,,VAL,"National Art Library, Victoria and Albert Museum, London, England"
B-153,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-153,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-154,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-154,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-155,I,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-155,II,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-155,,No,,EBNP,"Cabinet des Estampes, Bibliothque Nationale, Paris, France"
B-155,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-155,I,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-155,II,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-155,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-155,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-155,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-155,I,No,,ULn,"Universiteit, Leuven, Belgium"
B-155,II,No,,ULn,"Universiteit, Leuven, Belgium"
B-161,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-161,,No,,ULn,"Universiteit, Leuven, Belgium"
B-162,,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-162,I,No,,BEMa,"E. de Bethune, Marke, Belgium"
B-162,II,Yes,,BEMa,"E. de Bethune, Marke, Belgium"
B-164,,No,,MPA,"Muse Plantin-Moretus, Antwerp, Belgium"
B-164,,Yes,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-165,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-165,,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-167,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-167,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-168,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-168,,Yes,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-168,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-168,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-168,,No,,ULn,"Universiteit, Leuven, Belgium"
B-169,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-169,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-169,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-169,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-169,,No,,ULn,"Universiteit, Leuven, Belgium"
B-170,,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-174,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-174,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-174,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-177,,No,,MPA,"Muse Plantin-Moretus, Antwerp, Belgium"
B-177,II,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-177,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-177,,,,MR,"Museum Boymans-van Beuningen, Rotterdam, Netherlands"
B-177,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-177,I,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-177,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-177,,No,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-177,I,No,,ULn,"Universiteit, Leuven, Belgium"
B-177,II,No,,ULn,"Universiteit, Leuven, Belgium"
B-179,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-179,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-179,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-180,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-180,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-184,,No,,BNP,"Bibliothque nationale, Dpartement des Imprims, Paris, France"
B-184,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-184,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-184,,No,,BEMa,"E. de Bethune, Marke, Belgium"
B-38,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-38,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-38,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-38,,No,,ULn,"Universiteit, Leuven, Belgium"
B-66,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-66,,No,,ULn,"Universiteit, Leuven, Belgium"
B-88,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-88,,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-178,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-175,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-21,,Yes,,ULn,"Universiteit, Leuven, Belgium"
B-21,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-87,,Yes,,ULn,"Universiteit, Leuven, Belgium"
B-87,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-191,,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-191,,No,,BEMa,"E. de Bethune, Marke, Belgium"
B-192,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-193,,Yes,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-193,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-194,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-194,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-195,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-195,,Yes,,BEMa,"E. de Bethune, Marke, Belgium"
B-196,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-196,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-196,,No,,ULNe,"Universit, Louvain-la-Neuve, Belgium"
B-199,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-200,,No,,RMA,"Rijksmuseum, Amsterdam, Netherlands"
B-200,,No,,EBNP,"Cabinet des Estampes, Bibliothque Nationale, Paris, France"
B-200,,No,,BDu,"C. G. Boerner, Dsseldorf, Germany"
B-200,,No,,MPA,"Muse Plantin-Moretus, Antwerp, Belgium"
B-200,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-200,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-200,III,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-200,,Yes,,KBH,"Koninklijke Bibliotheek, The Hague, Netherlands"
B-200,,No,,ULn,"Universiteit, Leuven, Belgium"
B-203,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-203,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-203,III,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-204,,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-204,,No,,BNP,"Bibliothque nationale, Dpartement des Imprims, Paris, France"
B-204,,No,,ULNe,"Universit, Louvain-la-Neuve, Belgium"
B-207,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-207,,Yes,,AAP,"Bibliothque d'Art et d'Archologie de l'Universit, Paris, France"
B-207,,,,FP,"J. Fral, Paris, France"
B-207,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-207,,No,,NGW,"National Gallery, Washington, DC, USA"
